model,case_id,batch_index,batch_latency_seconds,prompt_sha256,response_sha256,action,risk_multiplier,confidence,reason_codes,valid,baseline_net_bps,ai_net_bps
qwen3:8b,7b509e14f4235fe5c41eee6f48a04989c80d4f8e523093db73d64905e4c0dfeb,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,36.4237060546875,0.0
qwen3:8b,83730b6d3233de5b01d2a34366e3f652b0b6e002340435e71025c5fb5aacba61,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,73.74022674560547,0.0
qwen3:8b,41fc9ac87c8e29fc62e44946f6c00c12a638ef3cd505029cf04f1745ca3cc394,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,73.52974700927734,0.0
qwen3:8b,95b114431a8191a247028f7e12496f1d2fd2ac80f6710e5f8ecc8bc612fc3376,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,15.194726943969727,0.0
qwen3:8b,4b65574476fd90f87d0d1bfb8dc3b2935815eb9f009913ed14ae75db84bb1ded,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-75.051025390625,-0.0
qwen3:8b,0231f2fa077c094175e4bf031ce24fa9b735af031a643ef9bd35f2ea74497540,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,176.6509552001953,0.0
qwen3:8b,f5764e451e09a3951727888194eb66d0218f09210ad0f735887f95e56327c974,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,432.97900390625,0.0
qwen3:8b,c06f75b0cdb0241772bdbd2299cc67f3415f3410545f6cfed32f984a45cb42d6,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,421.0335998535156,0.0
qwen3:8b,ec9a9ba4756858ccff58bbf9b0ee3a71c0b552cdac4fd45b27c6322833f2a27a,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,58.52389144897461,0.0
qwen3:8b,40f1fff6085505b506051698b5b300b68963328d6a430096a602f2efe4604ef9,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-63.028202056884766,-0.0
qwen3:8b,030ebdb18dfd24310ab5e0244f4d8eea569e546e93ba45ada6ee5d9b7875140f,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-0.45479249954223633,-0.0
qwen3:8b,774ccc59c87df1705f1740ce03b9b3b2c732927cf41d413ee756dd0e7abbd2e7,1,29.65724109997973,6b74048972ad29d85242d674a1723245ce460461146b289f2b8c8e8398e82de2,eb63a68af13aa6b438c1307b6ddb426de7cb494a52c02b799d59109d241fe39b,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-33.55003356933594,-0.0
qwen3:8b,4b69eb888460b57ed462380bc33f9afc49b55d24e62e83082067c35157615b4d,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,138.27755737304688,0.0
qwen3:8b,440848b92a240cf5c5fa00c4160b1649505079d70335756b566e550751a46e6a,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,67.3027572631836,0.0
qwen3:8b,fe2c7822f1f87f7abd2762bf6e81eaf5fc223d193fbbab4a5d31149cc28c9458,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-15.523042678833008,-0.0
qwen3:8b,c2bde81bfd901fcb04fa8997eaf980da3a995f386bf01cdc6da92a70a44a610b,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,78.66094207763672,0.0
qwen3:8b,7c7497033df2901fa0b9112d1d2a7e0df67193b347c5c09b69c22668a576c5e7,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,278.92742919921875,0.0
qwen3:8b,e66676bbda730195c372357743f19c666aa8e5616fd708c61f26b76c39d710b3,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-22.129966735839844,-0.0
qwen3:8b,17caea4522b1ac423654cea4e5a367d372f9266abdcf8526eefd169ee51682fd,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,90.44056701660156,0.0
qwen3:8b,b1ac78406caafcbb09a037fd4cc347ea2fc8265fe6a46e69d247c3eccc3e0c6e,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,108.41016387939453,0.0
qwen3:8b,67165d0a232b5c3d9607382788e61be2c8e829ff1219dc17621fb08188d4c306,2,35.15572829998564,5fb7cd00dd500ab30c9d3eb38cf1058a52e4f2e3966aae1120563b3c7b26a8c6,3490fa11b0ad0f9a080c10ac77e5d537072834d976f7de4af9459285e93e856d,veto,0.0,0.0,weak_cost_margin;unstable_analogs,True,-21.08785629272461,-0.0
