condition_id,slug,event_start_ms,event_start_utc,end_ms,end_utc,eligible,eligible_duration_ms,eligible_duration_fraction,failure_class,failure
0xdcf03ea95640ce6e4a394f507c15f8b4834888121b4530e73145514d4b460be3,btc-updown-5m-1786737000,1786737000000,2026-08-14T19:50:00+00:00,1786737300000,2026-08-14T19:55:00+00:00,True,296937,0.98979,,
0x2b23b94415f70ee763efebc94aad36db66a3f69241e8f4c5fd62cc03f71e12e0,btc-updown-5m-1786737300,1786737300000,2026-08-14T19:55:00+00:00,1786737600000,2026-08-14T20:00:00+00:00,True,299999,0.9999966666666666,,
0xea336edb13bf55112774482d390cd7012b4e8b4cb6564a145ee41a40e05a2538,btc-updown-5m-1786737600,1786737600000,2026-08-14T20:00:00+00:00,1786737900000,2026-08-14T20:05:00+00:00,True,299999,0.9999966666666666,,
0x8b159598eebf041d1ff3bfaafb67596be912581c3105ff03005c1b33a3cc6ea3,btc-updown-5m-1786737900,1786737900000,2026-08-14T20:05:00+00:00,1786738200000,2026-08-14T20:10:00+00:00,False,0,0.0,book_integrity,"price_change best bid/ask checksum disagrees with atomic depth: condition=0x8b159598eebf041d1ff3bfaafb67596be912581c3105ff03005c1b33a3cc6ea3 token=19876371298745586385336614826487454936503432984651728105826226207334378608330 source_time_ms=1786737977952 reported=(Decimal('0.37'), Decimal('0.39')) expected=(Decimal('0.38'), Decimal('0.39')) events=['7bc04dae330dd33b97ca5376bbc351e7d55150e92f35de895301327589c626b2', '8cec4ed5d7fe14d2d9d909216a5ef9432b3bb362dd1591745d1e45e25f6e9acc', '021dade35e65aa093f578200f9857e9a94eb00fa6cf3adec237323626d643544', 'e3a7ac82e8392f2ab10f448348be0be95b01aec78617c6c4b62d1d5959a94ee9', '75e06506f0e74ff3feeab26ce47adc37737df85d7c201319fa558e33bd12cbc7']"
0x740c8d0b3b0dba5e5fa124f394dccf59803bd6d47676061f8866ce3ea60312f7,btc-updown-5m-1786738200,1786738200000,2026-08-14T20:10:00+00:00,1786738500000,2026-08-14T20:15:00+00:00,True,299999,0.9999966666666666,,
0xc17918d5cb7d4dbc2d03f1db605c1a856d607eae633a0601ce93e1b6e8cce288,btc-updown-5m-1786738500,1786738500000,2026-08-14T20:15:00+00:00,1786738800000,2026-08-14T20:20:00+00:00,True,299999,0.9999966666666666,,
0x44d2bc94331ec1646f456fb5acdb9920ee50c30a49b62a449d608b425ca671f0,btc-updown-5m-1786738800,1786738800000,2026-08-14T20:20:00+00:00,1786739100000,2026-08-14T20:25:00+00:00,True,299999,0.9999966666666666,,
0x8fd419e75208b421818a813424919a73a08f74ef19467dfb4e33217c9e56009e,btc-updown-5m-1786739100,1786739100000,2026-08-14T20:25:00+00:00,1786739400000,2026-08-14T20:30:00+00:00,True,299999,0.9999966666666666,,
0x0be96f715bad60903eb0d2f4e1ab1e138e1abbaf36a832f7011a85ceee5a710f,btc-updown-5m-1786739400,1786739400000,2026-08-14T20:30:00+00:00,1786739700000,2026-08-14T20:35:00+00:00,True,299999,0.9999966666666666,,
0x6802fd826274ac7d53604900993eaa629ffefed9ecd381c06b703648ecbbcef1,btc-updown-5m-1786739700,1786739700000,2026-08-14T20:35:00+00:00,1786740000000,2026-08-14T20:40:00+00:00,True,299999,0.9999966666666666,,
0x94a73c96728f3a2ce967f9d65e56f8d616fb8052e254916b55815bc6674d45b8,btc-updown-5m-1786740000,1786740000000,2026-08-14T20:40:00+00:00,1786740300000,2026-08-14T20:45:00+00:00,True,299999,0.9999966666666666,,
0x2aa3aa7586e38774ad8c455908ed44e5c63d16c143657e612d137286622cf0a3,btc-updown-5m-1786740300,1786740300000,2026-08-14T20:45:00+00:00,1786740600000,2026-08-14T20:50:00+00:00,True,298721,0.9957366666666667,,
0xbb58dd6abbf8c7d9b6df634a920e1f92fd57571bda0dfd92184aa63c3da08a81,btc-updown-5m-1786740600,1786740600000,2026-08-14T20:50:00+00:00,1786740900000,2026-08-14T20:55:00+00:00,False,0,0.0,no_executable_interval,
